Timestamp,M1,M2,C1,C2
14701,0,-1,7,1
14707,1,-1,7,1
14713,0,-1,7,1
14719,1,-1,7,1
14725,0,-1,7,1
14731,0,-1,7,1
14737,0,-1,7,1
14743,0,-1,7,1
14748,1,-1,7,1
14754,0,-1,7,1
14761,1,-1,7,1
14767,1,-1,7,1
14773,0,-1,7,1
14779,0,-1,7,1
14785,0,-1,7,1
14791,0,-1,7,1
14797,0,-1,7,1
14803,0,-1,7,1
14809,0,-1,7,1
14815,1,-1,7,1
14821,1,-1,7,1
14827,0,-1,7,1
14833,1,-1,7,1
14839,1,-1,7,1
14845,0,-1,7,1
14851,0,-1,7,1
14857,1,-1,7,1
14862,0,-1,7,1
14869,1,-1,7,1
14875,1,-1,7,1
14881,0,-1,7,1
14887,0,-1,7,1
14893,1,-1,7,1
14898,1,-1,7,1
14904,1,-1,7,1
14911,1,-1,7,1
14917,0,-1,7,1
14922,0,-1,7,1
14928,0,-1,7,1
14935,1,-1,7,1
14941,0,-1,7,1
14946,1,-1,7,1
14953,0,-1,7,1
14959,0,-1,7,1
14965,0,-1,7,1
14971,0,-1,7,1
14977,0,-1,7,1
14982,0,-1,7,1
14988,1,-1,7,1
14994,1,-1,7,1
15001,1,-1,7,1
15006,1,-1,7,1
15012,0,-1,7,1
15019,1,-1,7,1
15025,1,-1,7,1
15030,1,-1,7,1
15036,0,-1,7,1
15042,0,-1,7,1
15048,1,-1,7,1
15055,0,-1,7,1
15061,0,-1,7,1
15067,1,-1,7,1
15072,0,-1,7,1
15078,0,-1,7,1
15084,1,-1,7,1
15091,0,-1,7,1
15097,1,-1,7,1
15103,0,-1,7,1
15108,0,-1,7,1
15114,0,-1,7,1
15120,1,-1,7,1
15127,1,-1,7,1
15133,1,-1,7,1
15139,1,-1,7,1
15145,1,-1,7,1
15151,0,-1,7,1
15156,0,-1,7,1
15162,1,-1,7,1
15168,0,-1,7,1
15174,1,-1,7,1
15180,0,-1,7,1
15186,0,-1,7,1
15192,1,-1,7,1
15198,0,-1,7,1
15204,1,-1,7,1
15210,0,-1,7,1
15216,0,-1,7,1
15222,0,-1,7,1
15228,0,-1,7,1
15234,1,-1,7,1
15240,0,-1,7,1
15246,0,-1,7,1
15252,0,-1,7,1
15258,0,-1,7,1
15264,0,-1,7,1
15270,1,-1,7,1
15276,0,-1,7,1
15282,1,-1,7,1
15288,0,-1,7,1
15294,1,-1,7,1
15300,1,-1,7,1
15306,1,-1,7,1
15312,0,-1,7,1
15318,1,-1,7,1
15324,1,-1,7,1
15330,0,-1,7,1
15336,1,-1,7,1
15342,1,-1,7,1
15347,1,-1,7,1
15354,1,-1,7,1
15360,1,-1,7,1
15366,1,-1,7,1
15372,0,-1,7,1
15378,1,-1,7,1
15384,1,-1,7,1
15390,1,-1,7,1
15396,0,-1,7,1
15402,1,-1,7,1
15408,1,-1,7,1
15414,0,-1,7,1
15420,1,-1,7,1
15426,1,-1,7,1
15432,0,-1,7,1
15438,1,-1,7,1
15444,1,-1,7,1
15450,1,-1,7,1
15456,0,-1,7,1
15462,0,-1,7,1
15468,1,-1,7,1
15474,1,-1,7,1
15479,0,-1,7,1
15485,1,-1,7,1
15491,1,-1,7,1
15497,1,-1,7,1
15503,0,-1,7,1
15509,1,-1,7,1
15516,1,-1,7,1
15522,1,-1,7,1
15528,0,-1,7,1
15534,0,-1,7,1
15540,1,-1,7,1
15545,1,-1,7,1
15551,1,-1,7,1
15558,0,-1,7,1
15564,1,-1,7,1
15570,0,-1,7,1
15576,0,-1,7,1
15582,0,-1,7,1
15587,1,-1,7,1
15594,1,-1,7,1
15600,1,-1,7,1
15606,1,-1,7,1
15612,1,-1,7,1
15618,1,-1,7,1
15624,1,-1,7,1
15630,1,-1,7,1
15636,0,-1,7,1
15642,0,-1,7,1
15647,1,-1,7,1
15653,0,-1,7,1
15660,0,-1,7,1
15666,0,-1,7,1
15672,1,-1,7,1
15678,1,-1,7,1
15684,1,-1,7,1
15690,0,-1,7,1
15696,0,-1,7,1
15701,0,-1,7,1
15708,1,-1,7,1
15713,0,-1,7,1
15719,0,-1,7,1
15725,1,-1,7,1
15732,1,-1,7,1
15738,1,-1,7,1
15744,1,-1,7,1
15750,0,-1,7,1
15756,0,-1,7,1
15762,1,-1,7,1
15768,0,-1,7,1
15774,1,-1,7,1
15780,1,-1,7,1
15786,1,-1,7,1
15792,1,-1,7,1
15797,0,-1,7,1
15803,0,-1,7,1
15810,1,-1,7,1
15816,0,-1,7,1
15822,0,-1,7,1
15828,1,-1,7,1
15833,0,-1,7,1
15839,1,-1,7,1
15845,1,-1,7,1
15852,0,-1,7,1
15857,0,-1,7,1
15864,0,-1,7,1
15870,1,-1,7,1
15875,1,-1,7,1
15882,0,-1,7,1
15888,0,-1,7,1
15893,1,-1,7,1
15899,0,-1,7,1
15905,0,-1,7,1
15911,1,-1,7,1
15918,1,-1,7,1
15924,0,-1,7,1
15930,1,-1,7,1
15936,0,-1,7,1
15942,1,-1,7,1
15948,1,-1,7,1
15954,0,-1,7,1
15959,0,-1,7,1
15966,1,-1,7,1
15972,0,-1,7,1
15978,0,-1,7,1
15984,0,-1,7,1
15990,0,-1,7,1
15996,0,-1,7,1
16001,0,-1,7,1
16007,0,-1,7,1
16014,0,-1,7,1
16020,0,-1,7,1
16026,0,-1,7,1
16032,1,-1,7,1
16037,0,-1,7,1
16043,0,-1,7,1
16049,1,-1,7,1
16055,0,-1,7,1
16062,1,-1,7,1
16068,1,-1,7,1
16074,0,-1,7,1
16080,1,-1,7,1
16085,1,-1,7,1
16091,0,-1,7,1
16098,1,-1,7,1
16103,0,-1,7,1
16110,0,-1,7,1
16116,0,-1,7,1
16121,1,-1,7,1
16127,0,-1,7,1
16133,0,-1,7,1
16139,1,-1,7,1
16145,1,-1,7,1
16152,0,-1,7,1
16157,1,-1,7,1
16163,0,-1,7,1
16169,1,-1,7,1
16175,0,-1,7,1
16181,0,-1,7,1
16187,1,-1,7,1
16193,1,-1,7,1
16199,0,-1,7,1
16205,1,-1,7,1
16211,1,-1,7,1
16217,0,-1,7,1
16223,1,-1,7,1
16229,1,-1,7,1
16235,0,-1,7,1
16241,1,-1,7,1
16247,0,-1,7,1
16253,1,-1,7,1
16259,0,-1,7,1
16265,0,-1,7,1
16271,0,-1,7,1
16277,0,-1,7,1
16283,1,-1,7,1
16289,0,-1,7,1
16295,1,-1,7,1
16301,1,-1,7,1
16307,0,-1,7,1
16313,0,-1,7,1
16319,1,-1,7,1
16325,0,-1,7,1
16330,0,-1,7,1
16337,1,-1,7,1
16343,1,-1,7,1
16349,1,-1,7,1
16355,0,-1,7,1
16361,0,-1,7,1
16367,1,-1,7,1
16373,0,-1,7,1
16379,0,-1,7,1
16385,1,-1,7,1
16391,0,-1,7,1
16397,0,-1,7,1
16403,1,-1,7,1
16409,0,-1,7,1
16415,0,-1,7,1
16421,1,-1,7,1
16427,1,-1,7,1
16433,1,-1,7,1
16439,1,-1,7,1
16445,1,-1,7,1
16451,1,-1,7,1
16456,1,-1,7,1
16463,1,-1,7,1
16469,1,-1,7,1
16475,0,-1,7,1
16481,1,-1,7,1
16487,1,-1,7,1
16493,0,-1,7,1
16499,0,-1,7,1
16505,1,-1,7,1
16511,0,-1,7,1
16517,0,-1,7,1
16523,1,-1,7,1
16528,0,-1,7,1
16534,0,-1,7,1
16541,0,-1,7,1
16547,0,-1,7,1
16553,0,-1,7,1
16558,0,-1,7,1
16565,1,-1,7,1
16571,0,-1,7,1
16577,1,-1,7,1
16583,1,-2,7,1
16589,0,-1,7,1
16595,0,-1,7,1
16601,0,-1,7,1
16606,1,-1,7,1
16613,0,-1,7,1
16619,0,-1,7,1
16625,0,-1,7,1
16631,0,-1,7,1
16637,0,-1,7,1
16643,1,-1,7,1
16649,0,-1,7,1
16655,1,-1,7,1
16661,0,-1,7,1
16667,1,-1,7,1
16672,1,-1,7,1
16679,1,-1,7,1
16685,1,-1,7,1
16691,1,-1,7,1
16697,1,-1,7,1
16703,1,-1,7,1
16709,1,-1,7,1
16715,0,-1,7,1
16721,1,-1,7,1
16727,1,-1,7,1
16732,0,-1,7,1
16739,0,-1,7,1
16745,0,-1,7,1
16750,0,-1,7,1
16756,1,-1,7,1
16763,1,-1,7,1
16768,0,-1,7,1
16774,0,-1,7,1
16780,1,-1,7,1
16787,0,-1,7,1
16793,0,-1,7,1
16798,0,-1,7,1
16804,0,-1,7,1
16811,0,-1,7,1
16817,0,-1,7,1
16823,0,-1,7,1
16829,1,-1,7,1
16835,0,-1,7,1
16841,0,-1,7,1
16846,0,-1,7,1
16853,0,-1,7,1
16859,0,-1,7,1
16864,1,-1,7,1
16870,1,-1,7,1
16876,1,-1,7,1
16882,0,-1,7,1
16888,1,-1,7,1
16895,1,-1,7,1
16901,1,-1,7,1
16907,1,-1,7,1
16913,1,-1,7,1
16919,1,-1,7,1
16925,1,-1,7,1
16930,1,-1,7,1
16936,1,-1,7,1
16943,1,-1,7,1
16949,0,-1,7,1
16955,1,-1,7,1
16961,1,-1,7,1
16967,0,-1,7,1
